,category,price
0,프로바이오틱스,14800
1,홍삼액,22490
2,,0
3,오메가3,4300
4,프로바이오틱스,7260
5,영양보충식,49900
6,멀티비타민,17800
7,,0
8,비타민B,24000
9,,0
10,프로바이오틱스,114000
11,기타다이어트식품,29900
12,히알루론산,126660
13,,0
14,기타건강보조식품,65500
15,밀크씨슬,31900
16,밀크씨슬,25100
17,,0
18,기타홍삼제품,111150
19,기타건강보조식품,154800
20,,0
21,멀티비타민,5900
22,칼슘,48000
23,오메가3,80900
24,오메가3,21900
25,콜라겐,29800
26,,0
27,프로바이오틱스,105530
28,,0
29,기타건강보조식품,64900
30,프로바이오틱스,37500
31,프로바이오틱스,252000
32,프로바이오틱스,40000
33,프로바이오틱스,38000
34,프로바이오틱스,24830
35,프로바이오틱스,23800
36,프로바이오틱스,30990
37,프로바이오틱스,24800
38,프로바이오틱스,507580
39,프로바이오틱스,98000
40,프로바이오틱스,38000
41,프로바이오틱스,69000
42,프로바이오틱스,69000
43,프로바이오틱스,50000
44,프로바이오틱스,98000
45,프로바이오틱스,65780
46,프로바이오틱스,29900
47,프로바이오틱스,25500
48,프로바이오틱스,68000
49,프로바이오틱스,98000
50,기타홍삼제품,44900
51,프로바이오틱스,11900
52,프로바이오틱스,31510
53,프로바이오틱스,8320
54,프로바이오틱스,84800
55,프로바이오틱스,18900
56,프로바이오틱스,8320
57,프로바이오틱스,12860
58,프로바이오틱스,12860
59,프로바이오틱스,18900
60,프로바이오틱스,8900
61,프로바이오틱스,53480
62,프로바이오틱스,23130
63,프로바이오틱스,23130
64,,0
65,,0
66,프로바이오틱스,45000
67,프로바이오틱스,68540
68,프로바이오틱스,15800
69,프로바이오틱스,32800
70,,0
71,,0
72,프로바이오틱스,24900
73,프로바이오틱스,24900
74,,0
75,프로바이오틱스,1710
76,프로바이오틱스,36000
77,프로바이오틱스,23900
78,프로바이오틱스,43000
79,프로바이오틱스,30780
80,,0
81,,0
82,,0
83,,0
84,,0
85,,0
86,,0
87,,0
88,,0
89,,0
90,,0
91,,0
92,프로바이오틱스,24900
93,,0
94,기타건강보조식품,40000
95,프로바이오틱스,15000
96,프로바이오틱스,120000
97,프로바이오틱스,19000
98,프로바이오틱스,180000
99,프로바이오틱스,17000
100,프로바이오틱스,24900
101,프로바이오틱스,24900
102,,0
103,,0
104,프로바이오틱스,23900
105,,0
106,,0
107,프로바이오틱스,26520
108,프로바이오틱스,180000
109,프로바이오틱스,16800
110,프로바이오틱스,32800
111,프로바이오틱스,49000
112,프로바이오틱스,24900
113,프로바이오틱스,60000
114,프로바이오틱스,32500
115,,0
116,프로바이오틱스,24900
117,,0
118,프로바이오틱스,24900
119,프로바이오틱스,24900
120,프로바이오틱스,24900
121,,0
122,프로바이오틱스,35000
123,,0
124,프로바이오틱스,16370
125,프로바이오틱스,16370
126,프로바이오틱스,19800
127,프로바이오틱스,19800
128,프로바이오틱스,19800
129,,0
130,,0
131,프로바이오틱스,15900
132,,0
133,프로바이오틱스,68000
134,프로바이오틱스,26520
135,프로바이오틱스,47800
136,프로바이오틱스,26520
137,,0
138,,0
139,,0
140,프로바이오틱스,15800
141,프로바이오틱스,15800
142,프로바이오틱스,15800
143,프로바이오틱스,15800
144,프로바이오틱스,24900
145,프로바이오틱스,24900
146,프로바이오틱스,24900
147,프로바이오틱스,24900
148,프로바이오틱스,24900
149,프로바이오틱스,24900
150,프로바이오틱스,24900
151,프로바이오틱스,102900
152,프로바이오틱스,11880
153,프로바이오틱스,16370
154,프로바이오틱스,26520
155,프로바이오틱스,26520
156,,0
157,프로바이오틱스,37900
158,프로바이오틱스,26520
159,프로바이오틱스,20000
160,,0
161,,0
162,,0
163,,0
164,,0
165,,0
166,,0
167,,0
168,,0
169,,0
170,,0
171,,0
172,,0
173,,0
174,,0
175,,0
176,,0
177,,0
178,,0
179,,0
180,,0
181,프로바이오틱스,63000
182,프로바이오틱스,26520
183,프로바이오틱스,26520
184,프로바이오틱스,15800
185,프로바이오틱스,26520
186,프로바이오틱스,28210
187,프로바이오틱스,179000
188,프로바이오틱스,39800
189,기타건강보조식품,88000
190,,0
191,프로바이오틱스,29100
192,프로바이오틱스,42000
193,프로바이오틱스,42000
194,프로바이오틱스,11800
195,프로바이오틱스,29680
196,,0
197,,0
198,프로바이오틱스,29680
199,프로바이오틱스,29680
200,,0
201,,0
202,,0
203,,0
204,,0
205,,0
206,,0
207,,0
208,,0
209,,0
210,프로바이오틱스,26520
211,프로바이오틱스,40500
212,프로바이오틱스,40500
213,프로바이오틱스,32800
214,가르시니아,97500
215,프로바이오틱스,2830
216,가르시니아,19900
217,루테인,69000
218,오메가3,26030
219,오메가3,68900
220,오메가3,72900
221,루테인,49500
222,기타건강보조식품,45900
223,프로바이오틱스,17550
224,기타단백질보충제,18330
225,기타다이어트식품,220000
226,비타민C,75000
227,기타다이어트식품,36510
228,프로바이오틱스,55620
229,,0
230,프로바이오틱스,19400
231,,0
232,기타다이어트식품,39000
233,멀티비타민,23760
234,가르시니아,46900
235,,0
236,,0
237,콜라겐,53500
238,기타건강보조식품,80400
239,,0
240,코큐텐,28900
241,,0
242,,0
243,,0
244,멀티비타민,36500
245,아연,1290000
246,프로바이오틱스,13000
247,,0
248,,0
249,홍삼액,136700
250,프로바이오틱스,50000
251,,0
252,,0
253,,0
254,,0
255,프로바이오틱스,262500
256,프로바이오틱스,182700
257,프로바이오틱스,16000
258,,0
259,프로바이오틱스,17800
260,프로바이오틱스,17800
261,기타다이어트식품,42770
262,멀티비타민,25650
263,프로바이오틱스,8700
264,홍삼액,36900
265,기타홍삼제품,108000
266,홍삼액,134560
267,기타홍삼제품,52000
268,건강분말,65000
269,인삼,51900
270,기타홍삼제품,107000
271,프로바이오틱스,24900
272,프로바이오틱스,24500
273,프로바이오틱스,17800
274,프로바이오틱스,42000
275,,0
276,,0
277,,0
278,,0
279,,0
280,,0
281,,0
282,프로바이오틱스,93000
283,프로바이오틱스,38750
284,프로바이오틱스,7260
285,기타건강보조식품,115000
286,,0
287,프로바이오틱스,38750
288,프로바이오틱스,47900
289,프로바이오틱스,2980
290,프로바이오틱스,7260
291,프로바이오틱스,7260
292,프로바이오틱스,43000
293,,0
294,프로바이오틱스,21570
295,프로바이오틱스,65270
296,,0
297,,0
298,기타홍삼제품,79000
299,홍삼액,30420
300,홍삼액,19900
301,홍삼액,37450
302,기타홍삼제품,78000
303,기타홍삼제품,78000
304,기타홍삼제품,78000
305,건강환/정,49800
306,기타홍삼제품,298000
307,기타홍삼제품,93500
308,홍삼액,298000
309,홍삼액,188000
310,홍삼액,59000
311,기타홍삼제품,55000
312,기타홍삼제품,48500
313,기타홍삼제품,60000
314,홍삼액,188000
315,홍삼액,103200
316,홍삼액,128000
317,홍삼액,128000
318,기타홍삼제품,60000
319,기타홍삼제품,60000
320,홍삼액,188000
321,홍삼액,188000
322,기타홍삼제품,60000
323,홍삼액,34300
324,기타홍삼제품,28400
325,홍삼액,19900
326,홍삼캡슐/환,28430
327,,0
328,홍삼액,46030
329,홍삼액,15900
330,홍삼액,79780
331,홍삼액,44300
332,홍삼액,80900
333,기타홍삼제품,49900
334,홍삼액,298000
335,홍삼액,59910
336,홍삼액,37450
337,홍삼액,43550
338,홍삼액,43550
339,홍삼액,24210
340,홍삼액,29000
341,홍삼액,79000
342,홍삼액,19900
343,홍삼액,37450
344,홍삼액,37450
345,기타홍삼제품,27520
346,홍삼캡슐/환,198000
347,홍삼액,74900
348,홍삼액,23800
349,홍삼액,23690
350,홍삼액,42920
351,홍삼액,250000
352,기타홍삼제품,28800
353,홍삼액,49900
354,기타홍삼제품,128000
355,기타홍삼제품,128000
356,홍삼액,35000
357,기타홍삼제품,80000
358,홍삼액,15000
359,기타홍삼제품,53900
360,홍삼액,79780
361,,0
362,기타홍삼제품,59000
363,홍삼액,58900
364,홍삼액,44000
365,기타홍삼제품,79000
366,기타홍삼제품,87000
367,홍삼액,22490
368,기타홍삼제품,39900
369,홍삼액,93200
370,홍삼액,93200
371,기타홍삼제품,35900
372,기타홍삼제품,91080
373,홍삼액,22490
374,홍삼액,60000
375,홍삼액,60000
376,홍삼액,43550
377,홍삼액,35870
378,기타홍삼제품,149000
379,홍삼액,239800
380,홍삼액,19480
381,홍삼액,89000
382,기타홍삼제품,37900
383,기타홍삼제품,48000
384,기타홍삼제품,41890
385,홍삼액,43900
386,,0
387,홍삼액,22490
388,홍삼액,22490
389,홍삼액,22490
390,홍삼액,35000
391,홍삼액,21900
392,기타홍삼제품,29800
393,홍삼액,26800
394,홍삼액,36450
395,홍삼액,98000
396,기타홍삼제품,49410
397,,0
398,홍삼액,58910
399,기타홍삼제품,170280
400,홍삼액,49500
401,기타홍삼제품,110990
402,기타홍삼제품,55000
403,기타홍삼제품,159000
404,밀크씨슬,18340
405,홍삼액,15900
406,홍삼액,50000
407,홍삼액,60000
408,홍삼액,58500
409,홍삼액,90000
410,기타홍삼제품,21990
411,기타홍삼제품,113980
412,홍삼액,19500
413,기타홍삼제품,178000
414,홍삼액,77000
415,홍삼액,84570
416,홍삼액,240000
417,기타홍삼제품,145000
418,인삼,9900
419,,0
420,기타홍삼제품,54740
421,홍삼액,93200
422,기타홍삼제품,90000
423,기타홍삼제품,26000
424,홍삼액,79000
425,홍삼액,4861120
426,기타홍삼제품,129000
427,홍삼액,99200
428,기타홍삼제품,156000
429,멀티비타민,44800
430,홍삼액,139000
431,기타홍삼제품,69500
432,홍삼액,67470
433,홍삼액,180000
434,홍삼액,43550
435,홍삼액,98000
436,홍삼액,29000
437,기타홍삼제품,220700
438,기타홍삼제품,43070
439,기타홍삼제품,104500
440,홍삼액,95980
441,기타홍삼제품,156400
442,홍삼액,304700
443,프로바이오틱스,172000
444,프로바이오틱스,45000
445,프로바이오틱스,45000
446,프로바이오틱스,50000
447,프로바이오틱스,39880
448,프로바이오틱스,24900
449,프로바이오틱스,24900
450,프로바이오틱스,33000
451,프로바이오틱스,26520
452,프로바이오틱스,43000
453,,0
454,,0
455,,0
456,,0
457,프로바이오틱스,21490
458,프로바이오틱스,27080
459,가르시니아,10150
460,식이섬유,14850
461,프로바이오틱스,17900
462,,0
463,프로바이오틱스,10488
464,프로바이오틱스,28390
465,,0
466,프로바이오틱스,23000
467,프로바이오틱스,7490
468,프로바이오틱스,26520
469,프로바이오틱스,32000
470,프로바이오틱스,32800
471,프로바이오틱스,24900
472,,0
473,,0
474,,0
475,,0
476,프로바이오틱스,23000
477,프로바이오틱스,31900
478,건강환/정,35000
479,,0
480,칼슘,9900
481,감마리놀렌산,45000
482,프로바이오틱스,26500
483,프로바이오틱스,55820
484,프로바이오틱스,26520
485,,0
486,프로바이오틱스,32800
487,프로바이오틱스,24900
488,프로바이오틱스,152880
489,,0
490,,0
491,,0
492,,0
493,프로바이오틱스,18700
494,,0
495,프로바이오틱스,14000
496,기타건강보조식품,297000
497,건강분말,35750
498,건강분말,19610
499,,0
500,건강분말,19610
501,프로바이오틱스,48070
502,프로바이오틱스,26520
503,프로바이오틱스,32800
504,,0
505,프로바이오틱스,17450
506,프로바이오틱스,66980
507,오메가3,15680
508,,0
509,,0
510,,0
511,,0
512,,0
513,기타건강보조식품,37900
514,기타건강보조식품,37900
515,오메가3,73390
516,기타단백질보충제,89000
517,기타단백질보충제,89000
518,콜라겐,93000
519,프로바이오틱스,29680
520,,0
521,,0
522,비타민C,15450
523,,0
524,,0
525,,0
526,,0
527,,0
528,,0
529,,0
530,,0
531,기타건강보조식품,108670
532,스피루리나,16370
533,,0
534,,0
535,,0
536,식이섬유,5920
537,,0
538,,0
539,,0
540,기타건강보조식품,9600
541,루테인,14740
542,,0
543,,0
544,,0
545,콜라겐,29360
546,,0
547,영양제,42620
548,철분,22790
549,기타건강보조식품,56770
550,기타건강보조식품,56770
551,프로바이오틱스,10900
552,,0
553,,0
554,,0
555,,0
556,,0
557,,0
558,,0
559,프로바이오틱스,172900
560,,0
561,비타민C,39900
562,,0
563,프로폴리스,1028080
564,,0
565,,0
566,단백질파우더,75700
567,기타단백질보충제,28000
568,,0
569,,0
570,,0
571,프로바이오틱스,25000
572,,0
573,,0
574,,0
575,,0
576,,0
577,,0
578,,0
579,,0
580,,0
581,,0
582,,0
583,기타건강보조식품,59300
584,,0
585,프로바이오틱스,17900
586,프로바이오틱스,55000
587,,0
588,홍삼액,89100
589,,0
590,프로폴리스,19840
591,,0
592,프로바이오틱스,13500
593,,0
594,,0
595,,0
596,,0
597,,0
598,기타건강보조식품,49060
599,,0
600,,0
601,,0
602,,0
603,,0
604,기타건강보조식품,39021
605,,0
606,프로바이오틱스,6060
607,오메가3,30720
608,,0
609,,0
610,,0
611,프로바이오틱스,773790
612,,0
613,,0
614,,0
615,기타건강보조식품,148180
616,,0
617,기타홍삼제품,31680
618,기타홍삼제품,31680
619,,0
620,,0
621,,0
622,,0
623,비타민B,7900
624,,0
625,멀티비타민,29900
626,비타민B,303720
627,기타건강보조식품,24220
628,비타민C,12000
629,비타민C,108940
630,비타민C,60260
631,비타민C,63900
632,,0
633,,0
634,,0
635,,0
636,CLA,28900
637,CLA,29300
638,밀크씨슬,11510
639,코큐텐,62180
640,,0
641,홍삼액,362100
642,,0
643,,0
644,,0
645,칼슘,27270
646,칼슘,79500
647,칼슘,70840
648,,0
649,기타건강보조식품,42500
650,,0
651,,0
652,프로바이오틱스,600000
653,기타건강보조식품,129800
654,코큐텐,26800
655,,0
656,,0
657,,0
658,코큐텐,20000
659,코큐텐,35900
660,,0
661,프로바이오틱스,23880
662,비타민B,19900
663,비타민C,63900
664,기타건강보조식품,85900
665,오메가3,30810
666,오메가3,14840
667,오메가3,17650
668,프로바이오틱스,14250
669,,0
670,,0
671,,0
672,,0
673,,0
674,,0
675,,0
676,,0
677,,0
678,,0
679,,0
680,콜라겐,11790
681,,0
682,프로바이오틱스,8410
683,,0
684,,0
685,기타건강보조식품,97000
686,,0
687,,0
688,,0
689,,0
690,,0
691,기타다이어트식품,41800
692,,0
693,비오틴,51310
694,,0
695,,0
696,,0
697,,0
698,,0
699,,0
700,,0
701,,0
702,프로바이오틱스,26510
703,프로바이오틱스,26510
704,,0
705,,0
706,,0
707,,0
708,,0
709,,0
710,,0
711,,0
712,,0
713,,0
714,비타민D,63900
715,밀크씨슬,30800
716,,0
717,,0
718,기타건강보조식품,119650
719,,0
720,오메가3,50650
721,,0
722,,0
723,,0
724,멀티비타민,51900
725,영양제,56080
726,,0
727,,0
728,기타건강보조식품,128200
729,루테인,23740
730,프로바이오틱스,51400
731,,0
732,,0
733,비타민C,35140
734,,0
735,,0
736,,0
737,,0
738,오메가3,120000
739,,0
740,,0
741,기타건강보조식품,69900
742,,0
743,보스웰리아,10050
744,루테인,63720
745,루테인,30123
746,,0
747,,0
748,기타다이어트식품,189000
749,,0
750,,0
751,비타민B,9900
752,루테인,9900
753,비타민B,9900
754,루테인,9900
755,비타민E,9900
756,기타건강보조식품,9900
757,아연,22000
758,루테인,8900
759,,0
760,아연,182100
761,,0
762,비타민B,182100
763,,0
764,,0
765,기타건강보조식품,165450
766,,0
767,,0
768,,0
769,,0
770,,0
771,비타민B,182100
772,비타민B,182100
773,,0
774,,0
775,,0
776,프로바이오틱스,38900
777,,0
778,,0
779,감마리놀렌산,864210
780,오메가3,33960
781,,0
782,,0
783,,0
784,프로바이오틱스,25000
785,,0
786,,0
787,,0
788,프로바이오틱스,11310
789,프로바이오틱스,11310
790,프로바이오틱스,210600
791,,0
792,프로바이오틱스,74900
793,기타다이어트식품,169100
794,,0
795,,0
796,,0
797,칼슘,34420
798,,0
799,,0
800,루테인,54600
801,기타건강보조식품,149000
802,기타건강보조식품,149000
803,멀티비타민,91130
804,밀크씨슬,21730
805,오메가3,43200
806,멀티비타민,107800
807,멀티비타민,110500
808,멀티비타민,110500
809,멀티비타민,43380
810,,0
811,,0
812,멀티비타민,241520
813,,0
814,프로바이오틱스,34700
815,,0
816,멀티비타민,76000
817,기타건강보조식품,23600
818,글루코사민,15510
819,,0
820,기타건강보조식품,135000
821,,0
822,,0
823,가르시니아,119900
824,,0
825,,0
826,,0
827,,0
828,비오틴,22930
829,,0
830,,0
831,,0
832,프로폴리스,11500
833,,0
834,,0
835,글루코사민,115800
836,,0
837,가르시니아,15500
838,,0
839,인삼,42300
840,루테인,4210
841,,0
842,프로바이오틱스,21440
843,비타민D,44000
844,,0
845,,0
846,기타단백질보충제,69000
847,,0
848,프로바이오틱스,8900
849,,0
