movie,sentence,score
헤어질 결심,영화를 보는 이유인 영화,10
마녀(魔女) Part2. The Other One,음...보는내내 드래곤볼이랑 원펀맨 생각남 힘을너무과하게표현했다생각함 ...주인공상대되는사람도없어 위기감도없고 이거재밋다고하는사람들은 그냥 화려한액션에취한거같고ㅎㅎ사람마다 느끼는게틀린건데 나랑의견틀리다고 무개념이네 생각없네하고싶진않다 그냥 시간널널하면봐라,2
헤어질 결심,박찬욱 감동 영화가 나에게 맞을줄이야…. 끝나고 엄청난 여운으로 곱씹게 되는영화…..,10
엘비스,별처럼 밝게 빛났던 앨비스네요좋아하는 감독이라 무조건 극장 예매했는데 지루한거 없이 넘 잘봤어요! 계속 들썩거리며 행복하게 봤어요♡,10
토르: 러브 앤 썬더,와이프가 9점이랍니다. 참고로 저는 재미없다고 해서 안봤습니다. 마블도 마블 나름이지.. 계속 이런 영화내서 투표하는느낌으로 안봄에 투표했습니다. 정신좀 차렸으면..ㅋㅋ,9
탑건: 매버릭,이건 정말 와우 감탄 테스토스테론이 끓어 오른다멋있다,10
그레이 맨,영화 너무 재밌게 봤다 역시 크리스 에반스. 그리고 주인공 여자애 너무 예쁨. 여주가 예뻐야 영화가 사는듯,10
인질,ocn에서 나오길래 난 재밋게봄,8
탑건: 매버릭,제발 나중에 후회하지말고 당장 영화관 가서 보세요!!!!이건 영화관에서 봐야해요. 이런 띵작을 만들었으면 양심적으로 탑건1도 같이 재상영 해줬어야지ㅠㅠㅠ,10
더 킬러: 죽어도 되는 아이,방금 보고 왔습니다.요근래 한국영화 본것 중에 최고네요.처음부터 끝까지 재밌게 봤습니다,10
감동주의보,겟마을차차차+국가대표 영화는 볼만하지만 감동은1도없다,6
헤어질 결심,"전 다섯번 봤는데.. 영화 끝나고 여운이 너무 좋아서 몇주간 시간날때마다 계속 봤어요~ 처음 보고 너무 충격받았어요.. 와 어떻게 이런 감성을 담은 영화를 만드셨는지요. 해외는 물론이고 한국 영화사에 정말 의미있는 영화라고 생각합니다. 정말 자부심을 느꼈습니다!! 마냥 평범하지는 않은 스토리에요. 독립운동가 후손이라는 설정도 좋았고.. 번역기의 기계음성 그걸로 소통하는 것이 오묘한 의미가 있었어요. 처음 아름답게 빛 비추는 장면, 주연 배우분들의 첫만남, 망원경, 계봉석 소개 장면, 고경표 배우님이 귓속말하는 장면, 사찰에서의 해준의 결심, 이주임.. 그 외에도 수많은 장면들 하나하나가 너무 좋았고..순간 허를 찌르기도 하고.. 감성과 익살을 균형있게 담은 연출이 너무 인상 깊었어요. 배우분들의 연기는 모두 말할 것도 없고요.. 제가 가장 아름답게 생각한 정면은 후반의 모래피라미드 씬 입니다. 너무 아름다웠어요… 눈물이 날만큼.. 개인적으로 흥행이 너무 아쉬워요. 흥행이 다가 아니지만 조금 안타까워서 두서없지만 길게 적어요.. 비슷한 시기에 개봉한 다른 영화들은 사람들이 추구하는 바(많은 이유가 있겠지만 액션 등의 영화를 보면 스릴이 느껴짐-&amp;gt;더위와 코로나 스트레스 해소)가 잘 맞아 떨어진 것과.. sns에 영화촬영이나 배우 관련 피드 많이 올리고 그런 것들이 소문을 타서 많이 보게 되고 상대적으로 예술영화처럼 보이는 헤어질 결심은 관심에서 조금 멀어진 것 같은데.. 헤어질 결심은 시원한 바닷가에서 홀로 산책과 명상하는 방식으로 코로나 스트레스와 더위를 해소한다고 생각하시면 좋을 듯요. 여러 작품이 있지만 탑건 매버릭과 헤어질 결심은 둘다 수작이에요. 두 작품 모두 영화를 30년 넘게 하신 분들이 그동안의 커리어를 담아 정성스럽게 만들어 내놓은 작품이니 명작일 수 밖에 없죠. 다른건 몰라도 요 둘은 각각 한번씩은 봐야한다고 생각합니다.. 분명 내가 몰랐던 감성을 얻은 것이 있으실 것이고 2022년을 기억하는 좋은 장치가 되실 듯요~ ",10
닥터 스트레인지: 대혼돈의 멀티버스,음?,8
헤어질 결심,너무 매력있는 영화..처음에는 큰 관심없었는데 보고나니 정말 보기잘했다는 생각이!!요새 영화 꽤나봤는데 제일 기억에 남는 영화에요. 다 보고나서도 자꾸 기억에 남아요! 다음장면으로 넘어가는 연출이 독특..! 배우분들도 넘 매력이고 연기도 잘하시구!!,9
탑건: 매버릭,미국판 블록버스터 영화의 모범. 톰 아저씨 자연사하셔야해요ㅜ,10
탑건: 매버릭,평점에 박한 내가 만점준다. 비록 파일럿 3명을 어떤기준으로 뽑았는지만 더 넣었으면 10점만점에 15점줬을텐데 그래도 10점만점에 10점줌.,10
헤어질 결심,가장 순애적인 영화. 또 다른 사랑의 종류를 알게 되었습니다.,10
탑건: 매버릭,말이 필요없는 최고의 영화. 몇 번을 보아도 질리지 않는다. 영화관이 필요한 이유를 보여준 영화.,10
헤어질 결심,탕웨이와 박해일의 눈빛이 오래 기억에 남을 것 같다.,9
